course_crn,full_name,short_name,prerequisites
30396,Data and Society,CSCI-4370,"['CSCI-4350', 'ITWS-4350']"
25911,Database Systems,CSCI-4380,['CSCI-2300']
28066,Data Mining,CSCI-4390,['CSCI-2300']
26077,Programming Languages,CSCI-4430,"['CSCI-2300', 'CSCI-2600']"
25612,Software Design and Documentation,CSCI-4440,['CSCI-2300']
29650,Large-Scale Programming and Testing,CSCI-4460,['CSCI-2300']
27057,Robotics I,CSCI-4480,['MATH-2400']
28879,Distributed Systems and Algorithms,CSCI-4510,['CSCI-4210']
25715,Numerical Computing,CSCI-4800,"['CSCI-1100', 'MATH-2010', 'ENGR-1100']"
27711,Topics in Computer Science,CSCI-4960,[]
27165,,CSCI-4961,
29654,,CSCI-4962,
26529,,CSCI-4964,
26741,,CSCI-4966,
27013,,CSCI-4967,
29637,,CSCI-4968,
30281,,CSCI-4969,
28891,,CSCI-4970,
26872,Machine Learning from Data,CSCI-6100,['CSCI-2300']
28569,Frontiers of Network Science,CSCI-6250,['CSCI-2300']
29653,Networking in the Linux Kernel,CSCI-6310,"['CSCI-4210', 'ECSE-2660']"
29250,Ontologies,CSCI-6340,['CSCI-2300']
28051,Data Science,CSCI-6350,"['CSCI-1200', 'CSCI-4380']"
29222,Data Mining,CSCI-6390,['CSCI-2300']
29651,Large-Scale Programming and Testing,CSCI-6460,['CSCI-2300']
28880,Distributed Systems and Algorithms,CSCI-6510,['CSCI-4210']
26039,Computational Linear Algebra,CSCI-6800,"['MATH-4800', 'CSCI-4800']"
30138,Finite Element Analysis,CSCI-6860,"['MATH-4800', 'CSCI-4800']"
25912,Computer Science Seminar,CSCI-6900,[]
29655,,CSCI-6961,
28986,,CSCI-6962,
28106,,CSCI-6964,
25961,,CSCI-6969,
28392,Master's Project,CSCI-6980,[]
26837,Master’s Thesis,CSCI-6990,[]
25726,Dissertation,CSCI-9990,[]
25525,Intermediate Microeconomic Theory,ECON-2010,"['IHSS-1200', 'MATH-1010', 'MATH-1500']"
28010,Intermediate Macroeconomic Theory,ECON-2020,"['IHSS-1200', 'MATH-1010', 'MATH-1500']"
26775,Readings in Economics,ECON-2940,[]
29489,Economics of Innovation and New Technologies,ECON-4110,"['IHSS-1200', 'ECON-1200', 'MATH-1010', 'MATH-1500']"
25988,Money and Banking,ECON-4130,"['ECON-1200', 'IHSS-1200']"
28904,Economics of Government Regulation and Firm Strategy,ECON-4150,"['ECON-1200', 'IHSS-1200']"
29464,Health Economics and Policy,ECON-4170,"['IHSS-1200', 'ECON-1200', 'MATH-1010', 'MATH-1500']"
28789,International Economics and Globalization,ECON-4190,"['ECON-1200', 'IHSS-1200']"
29640,Applied Game Theory,ECON-4220,"['ECON-1200', 'IHSS-1200', 'MATH-2010']"
29642,Behavioral Economics,ECON-4270,"['ECON-1200', 'IHSS-1200', 'MATH-1010', 'MATH-1500']"
29644,Econometric Methods for Big Data,ECON-4280,"['ECON-1200', 'IHSS-1200', 'MATH-1500', 'MATH-1010', 'ENGR-2600', 'MGMT-2100', 'MATP-4600', 'PSYC-2310']"
29293,Economics of Financial Institutions and Markets,ECON-4330,"['ECON-1200', 'IHSS-1200']"
30175,Behavioral Financial Economics,ECON-4340,"['ECON-1200', 'IHSS-1200', 'ENGR-2600', 'MGMT-2100', 'MATP-4600', 'PSYC-2310']"
27874,Econometrics,ECON-4570,"['MATH-2010', 'ECON-2010']"
26678,Seminar in Economics,ECON-4900,['ECON-4570']
26776,Readings in Economics,ECON-4940,[]
30370,Topics in Economics,ECON-4960,"['ECON-1200', 'IHSS-1200']"
30177,Applied Econometrics,ECON-6030,[]
30179,Economics of Innovation and New Technologies,ECON-6110,[]
28905,Advanced Economics of Government Regulation and Firm Strategy,ECON-6150,"['ECON-2010', 'IHSS-1200']"
29465,Health Economics and Policy,ECON-6170,[]
29128,Advanced International Economics and Globalization,ECON-6190,[]
29641,Applied Game Theory,ECON-6220,[]
29643,Behavioral Economics,ECON-6270,[]
29645,Econometric Methods for Big Data,ECON-6280,[]
30178,Behavioral Financial Economics,ECON-6340,[]
27875,Introduction to Econometrics,ECON-6560,"['MATH-2010', 'ECON-2010']"
26777,Readings in Economics,ECON-6940,[]
26810,Professional Project,ECON-6970,[]
30369,Master's Thesis,ECON-6990,[]
26957,Dissertation,ECON-9990,[]
28845,"Introduction to Electrical, Computer, and Systems Engineering",ECSE-1010,[]
28572,Introduction to Mechatronics Hardware and Software,ECSE-1090,[]
26036,Electric Circuits,ECSE-2010,"['MATH-2400', 'PHYS-1200']"
25660,Introduction to Electronics,ECSE-2050,['ECSE-2010']
26101,Fields and Waves I,ECSE-2100,"['ECSE-2010', 'MATH-2010']"
28819,Electrical Energy Systems,ECSE-2110,['ECSE-2010']
28127,Microelectronics Technology,ECSE-2210,[]
25662,Signals and Systems,ECSE-2410,['ECSE-2010']
27181,Engineering Probability,ECSE-2500,[]
25663,Computer Components and Operations,ECSE-2610,['CSCI-1100']
28820,"Computer Architecture, Networks, and Operating Systems",ECSE-2660,['ECSE-2610']
28061,ECSE Enrichment Seminar,ECSE-2900,[]
29170,,ECSE-2960,
28307,Analog IC Design,ECSE-4030,['ECSE-2050']
28818,Semiconductor Power Electronics,ECSE-4080,['ECSE-2050']
28040,Mechatronics,ECSE-4090,"['ENGR-2350', 'ECSE-2410']"
28557,Power Engineering Analysis,ECSE-4110,['ECSE-2110']
25664,VLSI Design,ECSE-4220,"['ECSE-2050', 'ECSE-2610', 'ECSE-2210']"
25665,Integrated Circuit Processes and Design,ECSE-4250,['ECSE-2210']
29268,Fundamentals of Solid State Lighting Systems,ECSE-4380,"['PHYS-1200', 'ECSE-2050']"
25666,Control Systems Engineering,ECSE-4440,"['ECSE-2410', 'MANE-4050', 'MANE-4500']"
27060,Robotics I,ECSE-4480,"['MATH-2400', 'MATH-2010', 'ENGR-1100']"
25667,Communication Systems,ECSE-4520,"['ECSE-2410', 'ECSE-2500']"
27562,Digital Signal Processing,ECSE-4530,"['ECSE-2410', 'ECSE-2500', 'MATH-2010']"
25668,Computer Communication Networks,ECSE-4670,"['ECSE-2610', 'ENGR-2600', 'ECSE-2500']"
29224,Solid-State Physics,ECSE-4720,['PHYS-2220']
25670,Computer Hardware Design,ECSE-4770,"['ECSE-2610', 'ENGR-2350']"
25679,Microprocessor Systems,ECSE-4790,"['ECSE-2610', 'ENGR-2350']"
26037,Multidisciplinary Capstone Design,ECSE-4900,['ENGR-2050']
26778,"Independent Studies in Electrical, Computer, and Systems Engineering",ECSE-4940,[]
29238,,ECSE-4962,
30192,,ECSE-4963,
30195,,ECSE-4964,
27409,Power Engineering Analysis,ECSE-6110,['ECSE-2110']
30194,Advanced Power System Modeling and Control,ECSE-6180,['ECSE-6190']
28064,Physical Foundations of Solid-State Devices,ECSE-6220,['ECSE-2210']
25675,Semiconductor Devices and Models I,ECSE-6230,['ECSE-2210']
25676,Systems Analysis Techniques,ECSE-6400,['ECSE-2410']
28558,Robotics I,ECSE-6470,"['MATH-2400', 'MATH-2010', 'ENGR-1100']"
25677,Introduction to Stochastic Signals and Systems,ECSE-6510,"['ECSE-2410', 'ECSE-2500']"
29237,Pattern Recognition,ECSE-6610,['ECSE-2500']
29360,Introduction to Probabilistic Graphical Models,ECSE-6810,['ECSE-2500']
28965,"Seminar in Electrical, Computer, and Systems Engineering",ECSE-6900,[]
30204,,ECSE-6963,
30193,,ECSE-6965,
28702,Professional Project,ECSE-6970,[]
